,Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0,1,Jornal do Commercio,1,4,http://memoria.bn.br/DocReader/364568_03/4,2-Jan-1840,aluguel,procurando serviço,1,,,,,serviços domésticos,,,F,,preta,escrava,"Rua dos Ourives, 29",,ALUGA-SE huma boa preta para todo serviço de huma casa; na rua dos Ourives n. 29.,,,,,,,,,,,,,,,,
1,2,Jornal do Commercio,1,4,http://memoria.bn.br/docreader/364568_03/4,2-Jan-1840,aluguel,procurando serviço,1,,,,,,,,M,,preto,escravo,"Rua da Quitanda, 12",,PRECISA-SE alugar hum preto para todo o serviço; na rua da Quitanda n. 12.,,,,,,,,,,,,,,,,
2,3,Jornal do Commercio,1,4,http://memoria.bn.br/docreader/364568_03/4,2-Jan-1840,compra,procurando serviço,1,,,,,pajem,,,M,12,pardo,escravo,"Rua Nova do Livramento, 23",,"PRECISA-SE, comprar, com muita brevidade, hum pardinho de 12 a 16 annos, que seja muito lindo e claro, e que sirva para pagem, o qual se pagará bem; na rua nova do Livramento n. 23.",,,,,,,,,,,,,,,,
3,4,Jornal do Commercio,1,4,http://memoria.bn.br/docreader/364568_03/4,2-Jan-1840,fuga,,1,,,,,marinheiro,Rufino,Angola,M,30,,escravo,"Rua Direita, 135",,"Fugio, em 27 do mez de dezembro, da sumaca brazileira Laurinda, hum marinheiro escravo, de nação Angola, por nome Rufino, levando vestido de panno azul em meio uso, e chapéo do Chile de copa baixa: ele mostra ter 30 annos de idade, he de estatura regular, magro de corpo, sem barba, tem a testa comprida, os olhos algum tanto avermelhados, e falla pouco desembaraçada. Que o mesmo levar, ou ou delle der noticia na rua Direita n. 135, receberá alviçaras.",,,,,,,,,,,,,,,,
4,5,Jornal do Commercio,1,4,http://memoria.bn.br/DocReader/364568_03/4,2-Jan-1840,fuga,,1,,,,,,Carolina,Crioula,F,18,fula,escrava,"Rua da Prainha, 30",,"Fugio, no dia 26 de dezembro, de tarde, huma crioula de idade 18 annos, de nome Carolina, de altura ordinaria, côr meio fula e beiços grossos; tem um signal de chicote em hum hombro, anda muito desembaraçada, e falla da mesma maneira; foi vista no dia 28 em S. Christovão; levou vestido de riscadoescuro com riscos brancos, e costuma mudar de nome. Quem a apprehender ou della der noticia na rua da Prainha n.30, será gratificado.",,,,,,,,,,,,,,,,
5,6,Jornal do Commercio,1,3,http://memoria.bn.br/DocReader/364568_03/3,2-Jan-1840,venda,oferecendo serviço / procurando serviço,1,,,,,cozinheiro,,,M,16,,escravo,"Rua Nova do Livramento, 23",,"VENDE-SE, na rua novado Livramento n. 23, dous molecoes de 16 a 20 annos de idade, hum he peritimo cozinheiro de forno e fogão, e tambem entende de massas, e o outro he peritimo marinheiro de governo, cose pannos, tem navegado para todos os portos: a razão de sua venda se dirá ao comprador.",,,,,,,,,,,,,,,,
6,7,Jornal do Commercio,1,4,http://memoria.bn.br/DocReader/364568_03/4,2-Jan-1840,venda,oferecendo serviço,1,,,,,"lavadeira, cozinheira, engomaderia",,,F,16,,escrava,"Rua da Alfândega, 295",,"VENDE-SE, por motivo particular, huma rapariga de 16 a 18 annos, que lava, cozinha e engomma; na rua da Alfândega n. 295.",,,,,,,,,,,,,,,,
7,8,Jornal do Commercio,1,4,http://memoria.bn.br/DocReader/364568_03/4,2-Jan-1840,venda,oferecendo serviço / procurando serviço,1,280$000,,,,"lavadeira, cozinheira, mascateadeira",,,F,,preta,escrava,"Rua do Hospício, 348",,"VENDE-SE, por precisão, huma preta que lava, cozinha e he mascateadeira de fazendas; o seu ultimo preço he de 280$ rs. : na rua do Hospício n. 348.",,,,,,,,,,,,,,,,
8,9,Jornal do Commercio,1,4,http://memoria.bn.br/docreader/364568_03/4,2-Jan-1840,venda,oferecendo serviço,1,,,,,"mocamba, costureira, engomadeira, lavadeira",,,F,22,,escrava,"Rua Nova do Livramento, 38",,"VENDE-SE, na rua nova do livramento n. 38, huma mocamba recolhida, de 22 a 24 annos, com as habilidades seguintes: he perfeita costureira em todo o sentido, corta e faz toda a qualidade de obra, tanto camisas de homem como vestidos de Sra., engomma perfeitamente, lava, pentea, vaste e prega huma Sra., tudo isto com a maior perfeição possível, e não se põe duvida em da-la a contento os dias que quizerem.",,,,,,,,,,,,,,,,
9,10,Jornal do Commercio,1,4,http://memoria.bn.br/DocReader/364568_03/4,2-Jan-1840,venda,oferecendo serviço,1,,,,,oficial de tamanqueiro,,,M,,,escravo,"Rua da Alfândega, 293",,"VENDE-SE, por precisão, hum moleque perfeito official de tamanqueiro; na rua da Alfândega n. 293.",,,,,,,,,,,,,,,,
